time,yaw,pitch,roll,acc x,acc y,acc z
2019-06-26 15:34:51.277374,153.85,-77.32,-9.51,-4123,546,-1150
2019-06-26 15:34:51.297380,153.81,-77.30,-9.51,-4127,548,-1166
2019-06-26 15:34:51.318383,153.79,-77.27,-9.52,-4118,540,-1175
2019-06-26 15:34:51.338388,153.80,-77.25,-9.53,-4119,538,-1159
2019-06-26 15:34:51.359394,153.76,-77.22,-9.53,-4123,541,-1149
2019-06-26 15:34:51.379397,153.74,-77.22,-9.52,-4122,586,-1160
2019-06-26 15:34:51.399402,153.76,-77.21,-9.53,-4126,508,-1158
2019-06-26 15:34:51.420407,153.78,-77.18,-9.54,-4109,518,-1186
2019-06-26 15:34:51.440411,153.71,-77.16,-9.55,-4105,530,-1179
2019-06-26 15:34:51.457415,153.66,-77.15,-9.54,-4148,591,-1151
2019-06-26 15:34:51.478423,153.65,-77.13,-9.58,-4103,516,-1174
2019-06-26 15:34:51.498425,153.58,-77.12,-9.58,-4115,538,-1165
2019-06-26 15:34:51.519430,153.53,-77.12,-9.57,-4116,549,-1181
2019-06-26 15:34:51.539432,153.46,-77.12,-9.58,-4119,555,-1189
2019-06-26 15:34:51.559437,153.35,-77.11,-9.59,-4120,542,-1177
2019-06-26 15:34:51.579443,153.30,-77.11,-9.59,-4117,541,-1171
2019-06-26 15:34:51.600447,153.23,-77.10,-9.60,-4113,544,-1181
2019-06-26 15:34:51.620452,153.14,-77.10,-9.60,-4116,548,-1164
2019-06-26 15:34:51.637456,153.07,-77.10,-9.61,-4118,550,-1182
2019-06-26 15:34:51.658461,152.98,-77.09,-9.61,-4118,548,-1179
2019-06-26 15:34:51.678466,152.89,-77.09,-9.62,-4128,542,-1171
2019-06-26 15:34:51.699470,152.79,-77.10,-9.62,-4120,540,-1162
2019-06-26 15:34:51.719474,152.73,-77.09,-9.63,-4122,545,-1170
2019-06-26 15:34:51.739479,152.63,-77.09,-9.63,-4114,551,-1176
2019-06-26 15:34:51.760483,152.61,-77.09,-9.63,-4119,557,-1175
2019-06-26 15:34:51.780488,152.49,-77.09,-9.63,-4114,560,-1179
2019-06-26 15:34:51.797963,152.45,-77.10,-9.63,-4108,566,-1183
2019-06-26 15:34:51.817967,152.38,-77.09,-9.64,-4112,548,-1193
2019-06-26 15:34:51.838971,152.31,-77.09,-9.64,-4117,540,-1184
2019-06-26 15:34:51.858976,152.24,-77.08,-9.65,-4118,540,-1191
2019-06-26 15:34:51.878980,152.15,-77.09,-9.65,-4116,548,-1157
2019-06-26 15:34:51.899985,152.08,-77.09,-9.65,-4120,556,-1174
2019-06-26 15:34:51.919989,152.01,-77.09,-9.65,-4126,555,-1178
2019-06-26 15:34:51.940995,151.92,-77.09,-9.65,-4124,552,-1179
2019-06-26 15:34:51.961000,151.85,-77.08,-9.66,-4123,542,-1171
2019-06-26 15:34:51.978003,151.76,-77.08,-9.66,-4124,541,-1192
2019-06-26 15:34:51.998009,151.67,-77.08,-9.66,-4127,552,-1185
2019-06-26 15:34:52.019012,151.63,-77.08,-9.67,-4120,548,-1174
2019-06-26 15:34:52.039016,151.56,-77.08,-9.66,-4119,550,-1181
2019-06-26 15:34:52.060021,151.47,-77.08,-9.67,-4120,550,-1184
2019-06-26 15:34:52.080025,151.40,-77.08,-9.67,-4117,550,-1193
2019-06-26 15:34:52.100030,151.34,-77.07,-9.67,-4122,549,-1198
2019-06-26 15:34:52.121034,151.27,-77.07,-9.68,-4130,548,-1184
2019-06-26 15:34:52.141039,151.20,-77.07,-9.68,-4128,546,-1182
2019-06-26 15:34:52.158043,151.11,-77.07,-9.68,-4123,548,-1190
2019-06-26 15:34:52.178048,151.07,-77.07,-9.68,-4131,544,-1187
2019-06-26 15:34:52.199053,150.98,-77.07,-9.69,-4120,548,-1195
2019-06-26 15:34:52.219056,150.90,-77.06,-9.69,-4124,542,-1190
2019-06-26 15:34:52.239061,150.86,-77.05,-9.70,-4124,543,-1184
2019-06-26 15:34:52.260065,150.80,-77.04,-9.70,-4120,541,-1186
2019-06-26 15:34:52.280070,150.74,-77.04,-9.70,-4130,548,-1185
2019-06-26 15:34:52.301076,150.67,-77.03,-9.70,-4120,556,-1189
2019-06-26 15:34:52.318080,150.63,-77.02,-9.71,-4106,538,-1196
2019-06-26 15:34:52.338084,150.55,-77.02,-9.71,-4135,559,-1189
2019-06-26 15:34:52.359089,150.49,-77.01,-9.71,-4122,561,-1175
2019-06-26 15:34:52.380093,150.43,-77.00,-9.73,-4132,527,-1170
2019-06-26 15:34:52.400098,150.34,-77.01,-9.73,-4126,527,-1173
2019-06-26 15:34:52.420102,150.29,-77.01,-9.73,-4127,540,-1186
2019-06-26 15:34:52.440108,150.19,-77.00,-9.74,-4129,540,-1187
2019-06-26 15:34:52.460111,150.14,-77.00,-9.74,-4124,541,-1196
2019-06-26 15:34:52.481115,150.08,-77.00,-9.74,-4118,540,-1194
2019-06-26 15:34:52.498119,150.02,-76.99,-9.74,-4109,555,-1190
2019-06-26 15:34:52.518124,149.95,-77.00,-9.74,-4112,561,-1197
2019-06-26 15:34:52.539129,149.87,-77.03,-9.70,-4120,674,-1180
2019-06-26 15:34:52.559133,148.87,-77.37,-9.62,-4173,1000,-563
2019-06-26 15:34:52.579138,148.13,-77.62,-9.65,-4136,551,-1251
2019-06-26 15:34:52.600142,148.21,-77.59,-9.69,-4058,472,-1212
2019-06-26 15:34:52.620147,148.17,-77.57,-9.69,-4093,514,-1168
2019-06-26 15:34:52.641152,148.11,-77.57,-9.70,-4117,538,-1136
2019-06-26 15:34:52.661156,147.99,-77.57,-9.69,-4129,540,-1139
2019-06-26 15:34:52.678160,147.92,-77.57,-9.70,-4138,553,-1126
2019-06-26 15:34:52.699165,147.83,-77.57,-9.70,-4143,555,-1137
2019-06-26 15:34:52.719169,147.74,-77.57,-9.70,-4138,557,-1138
2019-06-26 15:34:52.739173,147.65,-77.57,-9.70,-4138,559,-1144
2019-06-26 15:34:52.760179,147.52,-77.59,-9.69,-4135,587,-1120
2019-06-26 15:34:52.780184,147.39,-77.60,-9.69,-4141,551,-1149
2019-06-26 15:34:52.800189,147.33,-77.60,-9.69,-4143,552,-1144
2019-06-26 15:34:52.821192,147.26,-77.59,-9.70,-4142,553,-1160
2019-06-26 15:34:52.838196,147.20,-77.59,-9.69,-4146,563,-1142
2019-06-26 15:34:52.858201,147.11,-77.59,-9.69,-4134,564,-1147
2019-06-26 15:34:52.879205,147.07,-77.59,-9.70,-4132,563,-1129
2019-06-26 15:34:52.899210,146.98,-77.59,-9.70,-4140,571,-1128
2019-06-26 15:34:52.919215,146.87,-77.59,-9.70,-4138,564,-1125
2019-06-26 15:34:52.940219,146.83,-77.59,-9.70,-4146,563,-1127
2019-06-26 15:34:52.960223,146.77,-77.59,-9.70,-4148,572,-1143
2019-06-26 15:34:52.981228,146.68,-77.59,-9.70,-4149,563,-1136
2019-06-26 15:34:53.001233,146.59,-77.59,-9.70,-4147,562,-1142
2019-06-26 15:34:53.018237,146.50,-77.59,-9.70,-4141,558,-1127
2019-06-26 15:34:53.039242,146.41,-77.59,-9.71,-4148,560,-1132
2019-06-26 15:34:53.059246,146.37,-77.59,-9.70,-4150,554,-1117
2019-06-26 15:34:53.079250,146.29,-77.59,-9.70,-4151,556,-1120
2019-06-26 15:34:53.099255,146.20,-77.59,-9.71,-4146,557,-1114
2019-06-26 15:34:53.120260,146.08,-77.60,-9.71,-4139,565,-1122
2019-06-26 15:34:53.140264,146.02,-77.59,-9.71,-4139,559,-1122
2019-06-26 15:34:53.161269,145.94,-77.59,-9.71,-4143,560,-1120
2019-06-26 15:34:53.181273,145.85,-77.59,-9.71,-4149,554,-1129
2019-06-26 15:34:53.198277,145.79,-77.59,-9.71,-4150,549,-1136
2019-06-26 15:34:53.218282,145.71,-77.59,-9.71,-4154,553,-1136
2019-06-26 15:34:53.239287,145.62,-77.59,-9.71,-4147,557,-1132
2019-06-26 15:34:53.259291,145.55,-77.59,-9.71,-4142,554,-1130
2019-06-26 15:34:53.280296,145.47,-77.59,-9.71,-4144,551,-1126
2019-06-26 15:34:53.300300,145.41,-77.58,-9.72,-4140,557,-1134
2019-06-26 15:34:53.320305,145.35,-77.58,-9.72,-4139,564,-1142
2019-06-26 15:34:53.341310,145.26,-77.58,-9.72,-4146,564,-1133
2019-06-26 15:34:53.358314,145.18,-77.59,-9.72,-4144,568,-1131
2019-06-26 15:34:53.378317,145.14,-77.59,-9.72,-4142,567,-1134
2019-06-26 15:34:53.399324,145.06,-77.58,-9.72,-4143,575,-1132
2019-06-26 15:34:53.419328,144.97,-77.59,-9.72,-4133,565,-1127
2019-06-26 15:34:53.439332,144.89,-77.59,-9.72,-4135,561,-1115
2019-06-26 15:34:53.460337,144.80,-77.59,-9.72,-4136,562,-1124
2019-06-26 15:34:53.480340,144.77,-77.59,-9.72,-4135,569,-1129
2019-06-26 15:34:53.500345,144.68,-77.59,-9.72,-4139,572,-1126
2019-06-26 15:34:53.521350,144.58,-77.59,-9.72,-4133,566,-1127
2019-06-26 15:34:53.538355,144.54,-77.59,-9.72,-4124,571,-1117
2019-06-26 15:34:53.558359,144.43,-77.59,-9.72,-4125,571,-1131
2019-06-26 15:34:53.579364,144.40,-77.59,-9.72,-4131,560,-1145
2019-06-26 15:34:53.599368,144.33,-77.59,-9.72,-4134,573,-1139
2019-06-26 15:34:53.620373,144.25,-77.59,-9.72,-4132,568,-1153
2019-06-26 15:34:53.640377,144.20,-77.58,-9.72,-4121,559,-1141
2019-06-26 15:34:53.660381,144.12,-77.58,-9.72,-4138,559,-1140
2019-06-26 15:34:53.681386,144.05,-77.59,-9.72,-4129,566,-1125
2019-06-26 15:34:53.701390,143.97,-77.59,-9.72,-4138,560,-1121
2019-06-26 15:34:53.718395,143.92,-77.58,-9.72,-4138,567,-1136
2019-06-26 15:34:53.738400,143.86,-77.59,-9.72,-4132,584,-1130
2019-06-26 15:34:53.759404,143.63,-77.63,-9.70,-4185,627,-1066
2019-06-26 15:34:53.779408,143.37,-77.69,-9.70,-4117,586,-1126
2019-06-26 15:34:53.800413,143.26,-77.70,-9.71,-4129,537,-1139
2019-06-26 15:34:53.820418,143.18,-77.70,-9.71,-4130,547,-1127
2019-06-26 15:34:53.840422,143.13,-77.69,-9.72,-4135,557,-1127
